Size	Latency (us)	np	Algorithm
1	2.15	30	broadcast_chain
1	1.88	30	broadcast_binary_tree
1	3.15	30	scatter_flat
1	1.50	30	scatter_basic_binomial
1	2.80	30	scatter_nb
1	2.98	31	broadcast_flat
1	2.16	31	broadcast_chain
1	1.85	31	broadcast_binary_tree
1	3.18	31	scatter_flat
1	1.65	31	scatter_basic_binomial
1	2.71	31	scatter_nb
1	3.38	32	broadcast_flat
1	2.51	32	broadcast_chain
1	2.34	32	broadcast_binary_tree
1	3.48	32	scatter_flat
1	1.81	32	scatter_basic_binomial
1	3.30	32	scatter_nb
1	4.76	33	broadcast_flat
1	4.53	33	broadcast_chain
1	3.99	33	broadcast_binary_tree
1	5.53	33	scatter_flat
1	4.23	33	scatter_basic_binomial
1	5.14	33	scatter_nb
1	4.89	34	broadcast_flat
1	4.60	34	broadcast_chain
1	3.95	34	broadcast_binary_tree
1	5.27	34	scatter_flat
1	4.43	34	scatter_basic_binomial
1	4.97	34	scatter_nb
1	4.65	35	broadcast_flat
1	4.45	35	broadcast_chain
1	3.80	35	broadcast_binary_tree
1	4.85	35	scatter_flat
1	4.00	35	scatter_basic_binomial
1	4.92	35	scatter_nb
1	4.93	36	broadcast_flat
1	4.66	36	broadcast_chain
1	3.77	36	broadcast_binary_tree
1	4.88	36	scatter_flat
1	3.97	36	scatter_basic_binomial
1	4.58	36	scatter_nb
1	4.31	37	broadcast_flat
1	4.52	37	broadcast_chain
1	3.61	37	broadcast_binary_tree
1	4.30	37	scatter_flat
1	4.03	37	scatter_basic_binomial
1	4.34	37	scatter_nb
1	4.23	38	broadcast_flat
1	4.29	38	broadcast_chain
1	3.54	38	broadcast_binary_tree
1	4.39	38	scatter_flat
1	3.78	38	scatter_basic_binomial
1	4.28	38	scatter_nb
1	4.36	39	broadcast_flat
1	4.21	39	broadcast_chain
1	3.61	39	broadcast_binary_tree
1	4.68	39	scatter_flat
1	3.45	39	scatter_basic_binomial
1	4.32	39	scatter_nb
1	4.37	40	broadcast_flat
1	4.34	40	broadcast_chain
1	3.52	40	broadcast_binary_tree
1	4.30	40	scatter_flat
1	3.32	40	scatter_basic_binomial
1	4.32	40	scatter_nb
1	4.58	41	broadcast_flat
1	4.34	41	broadcast_chain
1	3.36	41	broadcast_binary_tree
1	4.93	41	scatter_flat
1	3.22	41	scatter_basic_binomial
1	4.71	41	scatter_nb
1	4.42	42	broadcast_flat
1	4.45	42	broadcast_chain
1	3.27	42	broadcast_binary_tree
1	4.54	42	scatter_flat
1	3.55	42	scatter_basic_binomial
1	4.49	42	scatter_nb
1	4.37	43	broadcast_flat
1	3.75	43	broadcast_chain
1	3.28	43	broadcast_binary_tree
1	4.78	43	scatter_flat
1	2.99	43	scatter_basic_binomial
1	4.47	43	scatter_nb
1	4.49	44	broadcast_flat
1	3.53	44	broadcast_chain
1	3.24	44	broadcast_binary_tree
1	4.64	44	scatter_flat
1	2.95	44	scatter_basic_binomial
1	4.51	44	scatter_nb
1	4.49	45	broadcast_flat
1	3.82	45	broadcast_chain
1	3.28	45	broadcast_binary_tree
1	4.78	45	scatter_flat
1	2.92	45	scatter_basic_binomial
1	4.64	45	scatter_nb
1	4.72	46	broadcast_flat
1	3.84	46	broadcast_chain
1	3.29	46	broadcast_binary_tree
1	4.99	46	scatter_flat
1	3.07	46	scatter_basic_binomial
1	4.71	46	scatter_nb
1	5.07	47	broadcast_flat
1	3.98	47	broadcast_chain
1	3.47	47	broadcast_binary_tree
1	5.13	47	scatter_flat
1	2.96	47	scatter_basic_binomial
1	4.92	47	scatter_nb
1	5.12	48	broadcast_flat
1	3.37	48	broadcast_binary_tree
1	5.43	48	scatter_flat
1	2.90	48	scatter_basic_binomial
1	4.93	48	scatter_nb
