Size	Latency (us)	np	Algorithm
1	0.18	2	broadcast_flat
1	0.20	2	broadcast_chain
1	0.22	2	broadcast_binary_tree
1	0.20	2	scatter_flat
1	0.21	2	scatter_basic_binomial
1	0.38	3	broadcast_flat
1	0.42	3	broadcast_chain
1	0.41	3	broadcast_binary_tree
1	0.43	3	scatter_flat
1	0.41	3	scatter_basic_binomial
1	0.41	3	scatter_nb
1	0.21	4	broadcast_flat
1	0.33	4	broadcast_binary_tree
1	0.22	4	scatter_flat
1	0.33	4	scatter_basic_binomial
1	0.22	4	scatter_nb
1	0.25	5	broadcast_flat
1	0.27	5	broadcast_chain
1	0.43	5	broadcast_binary_tree
1	0.28	5	scatter_flat
1	0.37	5	scatter_basic_binomial
1	0.29	5	scatter_nb
1	1.05	6	broadcast_flat
1	0.36	6	broadcast_chain
1	0.49	6	broadcast_binary_tree
1	0.32	6	scatter_flat
1	0.46	6	scatter_basic_binomial
1	0.32	6	scatter_nb
1	0.37	7	broadcast_flat
1	0.43	7	broadcast_chain
1	0.60	7	broadcast_binary_tree
1	0.39	7	scatter_flat
1	0.56	7	scatter_basic_binomial
1	0.43	7	scatter_nb
1	0.63	8	broadcast_flat
1	0.60	8	broadcast_chain
1	0.68	8	broadcast_binary_tree
1	0.70	8	scatter_flat
1	1.02	8	scatter_basic_binomial
1	1.32	8	scatter_nb
1	0.85	9	broadcast_flat
1	0.97	9	broadcast_chain
1	1.13	9	broadcast_binary_tree
1	0.89	9	scatter_flat
1	1.08	9	scatter_basic_binomial
1	0.90	9	scatter_nb
1	1.50	10	broadcast_flat
1	0.94	10	broadcast_chain
1	0.90	10	broadcast_binary_tree
1	0.91	10	scatter_flat
1	1.12	10	scatter_basic_binomial
1	0.88	11	broadcast_flat
1	0.93	11	broadcast_chain
1	0.94	11	broadcast_binary_tree
1	0.93	11	scatter_flat
1	0.89	11	scatter_basic_binomial
1	1.85	11	scatter_nb
1	0.91	12	broadcast_chain
1	0.93	12	broadcast_binary_tree
1	0.91	12	scatter_flat
1	0.84	12	scatter_basic_binomial
1	0.90	12	scatter_nb
1	0.87	13	broadcast_flat
1	0.95	13	broadcast_chain
1	0.94	13	broadcast_binary_tree
1	0.89	13	scatter_flat
1	0.94	13	scatter_basic_binomial
1	1.72	13	scatter_nb
1	0.98	14	broadcast_flat
1	0.92	14	broadcast_chain
1	1.01	14	scatter_flat
1	0.80	14	scatter_basic_binomial
1	1.93	14	scatter_nb
1	1.08	15	broadcast_flat
1	1.09	15	broadcast_chain
1	1.72	15	broadcast_binary_tree
1	1.06	15	scatter_flat
1	0.76	15	scatter_basic_binomial
1	1.13	15	scatter_nb
1	1.52	16	broadcast_flat
1	1.52	16	broadcast_chain
1	1.22	16	broadcast_binary_tree
1	1.63	16	scatter_flat
1	1.31	16	scatter_basic_binomial
1	2.16	16	scatter_nb
1	2.41	17	broadcast_flat
1	2.29	17	broadcast_chain
1	2.16	17	broadcast_binary_tree
1	2.52	17	scatter_flat
1	2.68	17	scatter_basic_binomial
1	2.73	17	scatter_nb
1	2.16	18	broadcast_flat
1	2.36	18	broadcast_chain
1	2.31	18	broadcast_binary_tree
1	2.43	18	scatter_flat
1	2.34	18	scatter_basic_binomial
1	2.31	18	scatter_nb
1	2.30	19	broadcast_flat
1	2.34	19	broadcast_chain
1	2.17	19	broadcast_binary_tree
1	2.41	19	scatter_flat
1	2.49	19	scatter_basic_binomial
1	2.28	19	scatter_nb
1	2.19	20	broadcast_flat
1	2.38	20	broadcast_chain
1	2.13	20	broadcast_binary_tree
1	2.45	20	scatter_flat
1	2.11	20	scatter_basic_binomial
1	2.23	20	scatter_nb
1	2.41	21	broadcast_flat
1	2.36	21	broadcast_chain
1	2.18	21	broadcast_binary_tree
1	2.62	21	scatter_flat
1	2.75	21	scatter_basic_binomial
1	2.31	21	scatter_nb
1	2.37	22	broadcast_flat
1	2.14	22	broadcast_chain
1	2.14	22	broadcast_binary_tree
1	2.80	22	scatter_flat
1	2.17	22	scatter_basic_binomial
1	2.30	22	scatter_nb
1	2.47	23	broadcast_flat
1	2.46	23	broadcast_chain
1	2.02	23	broadcast_binary_tree
1	2.71	23	scatter_flat
1	2.21	23	scatter_basic_binomial
1	2.52	23	scatter_nb
1	2.88	24	broadcast_flat
1	2.43	24	broadcast_chain
1	2.72	24	broadcast_binary_tree
1	3.09	24	scatter_flat
1	2.07	24	scatter_basic_binomial
1	2.38	24	scatter_nb
1	2.45	25	broadcast_flat
1	2.23	25	broadcast_chain
1	1.94	25	broadcast_binary_tree
1	2.75	25	scatter_flat
1	1.97	25	scatter_basic_binomial
1	2.41	25	scatter_nb
1	2.68	26	broadcast_flat
1	2.16	26	broadcast_chain
1	1.99	26	broadcast_binary_tree
1	2.63	26	scatter_flat
1	1.90	26	scatter_basic_binomial
1	2.54	26	scatter_nb
1	2.52	27	broadcast_flat
1	2.14	27	broadcast_chain
1	2.11	27	broadcast_binary_tree
1	2.63	27	scatter_flat
1	1.69	27	scatter_basic_binomial
1	2.68	27	scatter_nb
1	2.58	28	broadcast_flat
1	2.19	28	broadcast_chain
1	2.05	28	broadcast_binary_tree
1	2.96	28	scatter_flat
1	1.62	28	scatter_basic_binomial
1	2.44	28	scatter_nb
1	2.58	29	broadcast_flat
1	2.18	29	broadcast_chain
1	1.87	29	broadcast_binary_tree
1	3.10	29	scatter_flat
1	1.65	29	scatter_basic_binomial
1	2.65	29	scatter_nb
1	2.72	30	broadcast_flat
1	2.08	30	broadcast_chain
1	1.81	30	broadcast_binary_tree
1	3.07	30	scatter_flat
1	1.56	30	scatter_basic_binomial
1	2.78	30	scatter_nb
1	2.67	31	broadcast_flat
1	2.13	31	broadcast_chain
1	1.83	31	broadcast_binary_tree
1	3.17	31	scatter_flat
1	1.59	31	scatter_basic_binomial
1	2.71	31	scatter_nb
1	3.28	32	broadcast_flat
