Size	Latency (us)	np	Algorithm
16	0.93	9	broadcast_chain
32	0.99	9	broadcast_chain
64	0.98	9	broadcast_chain
128	1.35	9	broadcast_chain
256	1.37	9	broadcast_chain
512	1.42	9	broadcast_chain
1024	1.80	9	broadcast_chain
2048	2.27	9	broadcast_chain
4096	3.24	9	broadcast_chain
8192	4.86	9	broadcast_chain
16384	11.45	9	broadcast_chain
32768	17.88	9	broadcast_chain
65536	31.14	9	broadcast_chain
131072	56.49	9	broadcast_chain
262144	107.54	9	broadcast_chain
524288	204.43	9	broadcast_chain
1048576	407.31	9	broadcast_chain
2097152	829.35	9	broadcast_chain
4194304	2047.34	9	broadcast_chain
8	1.20	9	broadcast_binary_tree
16	1.11	9	broadcast_binary_tree
32	1.09	9	broadcast_binary_tree
64	1.06	9	broadcast_binary_tree
128	1.38	9	broadcast_binary_tree
256	1.47	9	broadcast_binary_tree
512	1.47	9	broadcast_binary_tree
1024	1.78	9	broadcast_binary_tree
2048	2.30	9	broadcast_binary_tree
4096	3.23	9	broadcast_binary_tree
8192	4.97	9	broadcast_binary_tree
16384	12.54	9	broadcast_binary_tree
32768	18.81	9	broadcast_binary_tree
65536	31.28	9	broadcast_binary_tree
131072	56.44	9	broadcast_binary_tree
262144	107.33	9	broadcast_binary_tree
524288	199.14	9	broadcast_binary_tree
1048576	380.01	9	broadcast_binary_tree
2097152	847.79	9	broadcast_binary_tree
4194304	2278.23	9	broadcast_binary_tree
8	0.90	9	scatter_flat
16	0.90	9	scatter_flat
32	1.07	9	scatter_flat
64	1.04	9	scatter_flat
128	1.50	9	scatter_flat
256	1.54	9	scatter_flat
512	1.62	9	scatter_flat
1024	2.33	9	scatter_flat
2048	2.68	9	scatter_flat
4096	3.85	9	scatter_flat
8192	5.84	9	scatter_flat
16384	10.56	9	scatter_flat
32768	19.78	9	scatter_flat
65536	37.81	9	scatter_flat
131072	81.32	9	scatter_flat
262144	93.59	9	scatter_flat
524288	198.28	9	scatter_flat
1048576	513.26	9	scatter_flat
2097152	2246.48	9	scatter_flat
4194304	5484.78	9	scatter_flat
8	1.07	9	scatter_binomial
16	1.11	9	scatter_binomial
32	1.28	9	scatter_binomial
64	1.38	9	scatter_binomial
128	1.61	9	scatter_binomial
256	1.75	9	scatter_binomial
512	2.04	9	scatter_binomial
1024	2.75	9	scatter_binomial
2048	3.86	9	scatter_binomial
4096	5.65	9	scatter_binomial
8192	8.93	9	scatter_binomial
16384	15.80	9	scatter_binomial
32768	29.27	9	scatter_binomial
65536	44.99	9	scatter_binomial
131072	93.58	9	scatter_binomial
262144	203.77	9	scatter_binomial
524288	449.54	9	scatter_binomial
1048576	1305.94	9	scatter_binomial
2097152	3766.89	9	scatter_binomial
4194304	8761.31	9	scatter_binomial
8	1.11	9	scatter_nb
16	1.17	9	scatter_nb
32	1.33	9	scatter_nb
64	1.45	9	scatter_nb
128	1.67	9	scatter_nb
256	1.83	9	scatter_nb
512	2.07	9	scatter_nb
1024	2.78	9	scatter_nb
2048	3.90	9	scatter_nb
4096	6.03	9	scatter_nb
8192	9.37	9	scatter_nb
16384	8.19	9	scatter_nb
32768	16.02	9	scatter_nb
65536	32.49	9	scatter_nb
131072	46.70	9	scatter_nb
262144	125.62	9	scatter_nb
524288	149.57	9	scatter_nb
1048576	516.94	9	scatter_nb
2097152	2302.08	9	scatter_nb
4194304	5504.15	9	scatter_nb
8	1.01	11	broadcast_chain
16	0.99	11	broadcast_chain
32	1.13	11	broadcast_chain
64	1.09	11	broadcast_chain
128	1.46	11	broadcast_chain
256	1.50	11	broadcast_chain
512	1.59	11	broadcast_chain
1024	1.96	11	broadcast_chain
2048	2.49	11	broadcast_chain
4096	3.60	11	broadcast_chain
8192	5.42	11	broadcast_chain
16384	13.06	11	broadcast_chain
32768	20.32	11	broadcast_chain
65536	31.48	11	broadcast_chain
131072	58.11	11	broadcast_chain
262144	115.50	11	broadcast_chain
524288	223.38	11	broadcast_chain
1048576	421.56	11	broadcast_chain
2097152	967.10	11	broadcast_chain
4194304	2478.74	11	broadcast_chain
8	0.92	11	broadcast_binary_tree
16	0.92	11	broadcast_binary_tree
32	1.07	11	broadcast_binary_tree
64	1.04	11	broadcast_binary_tree
128	1.44	11	broadcast_binary_tree
256	1.48	11	broadcast_binary_tree
512	1.57	11	broadcast_binary_tree
1024	1.94	11	broadcast_binary_tree
2048	2.56	11	broadcast_binary_tree
4096	3.74	11	broadcast_binary_tree
8192	5.74	11	broadcast_binary_tree
16384	14.16	11	broadcast_binary_tree
32768	21.35	11	broadcast_binary_tree
65536	35.24	11	broadcast_binary_tree
131072	62.46	11	broadcast_binary_tree
262144	117.00	11	broadcast_binary_tree
524288	220.68	11	broadcast_binary_tree
1048576	441.99	11	broadcast_binary_tree
2097152	1038.04	11	broadcast_binary_tree
4194304	2689.44	11	broadcast_binary_tree
8	0.89	11	scatter_flat
16	0.89	11	scatter_flat
32	1.15	11	scatter_flat
64	1.11	11	scatter_flat
128	1.65	11	scatter_flat
256	1.72	11	scatter_flat
512	1.81	11	scatter_flat
1024	2.47	11	scatter_flat
2048	3.14	11	scatter_flat
4096	4.48	11	scatter_flat
8192	6.88	11	scatter_flat
16384	12.46	11	scatter_flat
32768	23.35	11	scatter_flat
65536	44.62	11	scatter_flat
131072	100.38	11	scatter_flat
262144	108.80	11	scatter_flat
524288	228.38	11	scatter_flat
1048576	648.99	11	scatter_flat
2097152	2831.01	11	scatter_flat
4194304	6508.38	11	scatter_flat
8	0.90	11	scatter_binomial
16	1.01	11	scatter_binomial
32	1.16	11	scatter_binomial
64	1.32	11	scatter_binomial
128	1.52	11	scatter_binomial
256	1.65	11	scatter_binomial
512	2.01	11	scatter_binomial
1024	2.73	11	scatter_binomial
2048	3.99	11	scatter_binomial
4096	6.27	11	scatter_binomial
8192	10.02	11	scatter_binomial
16384	18.07	11	scatter_binomial
32768	33.72	11	scatter_binomial
