Size	Latency (us)	np	Algorithm
8	0.56	4	broadcast_binary_tree
16	0.57	4	broadcast_binary_tree
32	0.66	4	broadcast_binary_tree
64	0.67	4	broadcast_binary_tree
128	1.17	4	broadcast_binary_tree
256	1.12	4	broadcast_binary_tree
512	1.25	4	broadcast_binary_tree
1024	1.35	4	broadcast_binary_tree
2048	2.16	4	broadcast_binary_tree
4096	2.88	4	broadcast_binary_tree
8192	4.54	4	broadcast_binary_tree
16384	12.85	4	broadcast_binary_tree
32768	16.32	4	broadcast_binary_tree
65536	24.88	4	broadcast_binary_tree
131072	44.2	4	broadcast_binary_tree
262144	86.19	4	broadcast_binary_tree
524288	173.6	4	broadcast_binary_tree
1048576	339.14	4	broadcast_binary_tree
2	0.61	4	scatter_flat
4	0.56	4	scatter_flat
8	0.58	4	scatter_flat
16	0.57	4	scatter_flat
32	0.67	4	scatter_flat
64	0.66	4	scatter_flat
128	0.99	4	scatter_flat
256	1.0	4	scatter_flat
512	1.17	4	scatter_flat
1024	1.21	4	scatter_flat
2048	1.9	4	scatter_flat
4096	2.77	4	scatter_flat
8192	4.6	4	scatter_flat
16384	10.29	4	scatter_flat
32768	12.29	4	scatter_flat
65536	20.37	4	scatter_flat
131072	38.8	4	scatter_flat
262144	96.69	4	scatter_flat
524288	202.5	4	scatter_flat
1048576	430.38	4	scatter_flat
2	0.37	4	scatter_basic_linear
4	0.33	4	scatter_basic_linear
8	0.35	4	scatter_basic_linear
16	0.34	4	scatter_basic_linear
32	0.41	4	scatter_basic_linear
64	0.38	4	scatter_basic_linear
128	0.93	4	scatter_basic_linear
256	0.89	4	scatter_basic_linear
512	1.02	4	scatter_basic_linear
1024	1.11	4	scatter_basic_linear
2048	2.04	4	scatter_basic_linear
4096	2.71	4	scatter_basic_linear
8192	4.59	4	scatter_basic_linear
16384	10.56	4	scatter_basic_linear
32768	12.46	4	scatter_basic_linear
65536	21.27	4	scatter_basic_linear
131072	38.81	4	scatter_basic_linear
262144	96.59	4	scatter_basic_linear
524288	204.81	4	scatter_basic_linear
1048576	427.73	4	scatter_basic_linear
2	0.39	4	scatter_binomial
4	0.36	4	scatter_binomial
8	0.37	4	scatter_binomial
16	0.37	4	scatter_binomial
32	0.41	4	scatter_binomial
64	0.39	4	scatter_binomial
128	0.87	4	scatter_binomial
256	0.84	4	scatter_binomial
512	0.95	4	scatter_binomial
1024	1.06	4	scatter_binomial
