Size	Latency (ns)	np
262144	1318176	17

524288	1253213	17

1048576	1273774	17

1	1327423	18

2	1253271	18

4	1336720	18

8	1279522	18

16	1285386	18

32	1285867	18

64	1298685	18

128	1268492	18

256	1265716	18

512	1240203	18

1024	1253883	18

2048	1300864	18

4096	1251452	18

8192	1285736	18

16384	1253373	18

32768	1233684	18

65536	1249184	18

131072	1318365	18

262144	1514664	18

524288	1397344	18

1048576	1516455	18

1	1488930	19

2	1413534	19

4	1432391	19

8	1440330	19

16	1589377	19

32	1487108	19

64	1541710	19

128	1573227	19

256	1534683	19

512	1495833	19

1024	1426157	19

2048	1412006	19

4096	1530556	19

8192	1553186	19

16384	1367071	19

32768	1492035	19

65536	1428887	19

131072	1536151	19

262144	1496412	19

524288	1477203	19

1048576	1497234	19

1	1423500	20

2	1449908	20

4	1467308	20

8	1412627	20

16	1454883	20

32	1450923	20

64	1469360	20

128	1445955	20

256	1455890	20

512	1394184	20

1024	1436463	20

2048	1396411	20

4096	1428741	20

8192	1523017	20

16384	1475130	20

32768	1454249	20

65536	1475569	20

131072	1375387	20

262144	1410402	20

524288	1426406	20

1048576	1457903	20

1	1519969	21

2	1426050	21

4	1460058	21

8	1458331	21

16	1448637	21

32	1494056	21

64	1493391	21

128	1565879	21

256	1541549	21

512	1417526	21

1024	1481735	21

2048	1459208	21

4096	1552229	21

8192	1457038	21

16384	1475688	21

32768	1402525	21

65536	1490835	21

131072	1429465	21

262144	1463877	21

524288	1471923	21

1048576	1498912	21

1	1541900	22

2	1424440	22

4	1422072	22

8	1558894	22

16	1472585	22

32	1458253	22

64	1428962	22

128	1474391	22

256	1440866	22

512	1485597	22

1024	1447865	22

2048	1499622	22

4096	1479687	22

8192	1481191	22

16384	1498390	22

32768	1511356	22

65536	1440215	22

131072	1560792	22

262144	1434727	22

524288	1473793	22

1048576	1551639	22

1	1477400	23

2	1578847	23

4	1474853	23

8	1479369	23

16	1504993	23

32	1530135	23

64	1535160	23

128	1551123	23

256	1572947	23

512	1439822	23

1024	1295137	23

2048	1296191	23

4096	1304851	23

8192	1269273	23

16384	1310627	23

32768	1330793	23

65536	1370918	23

131072	1326145	23

262144	1330431	23

524288	1331741	23

1048576	1375489	23

1	1300165	24

2	1340676	24

4	1321392	24

8	1303709	24

16	1372950	24

32	1334071	24

64	1339086	24

128	1293527	24

256	1328741	24

512	1371468	24

1024	1341017	24

2048	1363527	24

4096	1327192	24

8192	1331201	24

16384	1340180	24

32768	1340256	24

65536	1346320	24

131072	1330144	24

262144	1340465	24

524288	1358418	24

1048576	1334947	24

