Size	Latency (ns)	np

1	2282967	1

2	1908047	1

4	1900200	1

8	1911497	1

16	1918125	1

32	1914834	1

64	1904485	1

128	1896784	1

256	1924062	1

512	1915719	1

1024	1921736	1

2048	1906187	1

4096	1902633	1

8192	1914189	1

16384	1904083	1

32768	1931195	1

65536	1920615	1

131072	1961000	1

262144	1991366	1

524288	2056080	1

1048576	2141185	1

