Size	Latency (ns)	np
262144	1355160	17

524288	1314004	17

1048576	1323756	17

1	1385082	18

2	1380606	18

4	1370610	18

8	1378974	18

16	1361798	18

32	1366430	18

64	1372923	18

128	1371884	18

256	1381770	18

512	1370386	18

1024	1369317	18

2048	1364415	18

4096	1377180	18

8192	1409658	18

16384	1398281	18

32768	1362468	18

65536	1358229	18

131072	1377014	18

262144	1363542	18

524288	1492932	18

1048576	1333149	18

1	1389546	19

2	1419826	19

4	1387265	19

8	1395366	19

16	1403140	19

32	1410733	19

64	1406968	19

128	1405975	19

256	1515425	19

512	1402465	19

1024	1403431	19

2048	1404302	19

4096	1415895	19

8192	1395656	19

16384	1383161	19

32768	1389402	19

65536	1382152	19

131072	1428251	19

262144	1386261	19

524288	1386102	19

1048576	1380536	19

1	1443248	20

2	1438834	20

4	1432654	20

8	1454286	20

16	1414074	20

32	1422690	20

64	1427951	20

128	1423451	20

256	1432919	20

512	1416925	20

1024	1446198	20

2048	1424752	20

4096	1452394	20

8192	1440648	20

16384	1410283	20

32768	1409717	20

65536	1416797	20

131072	1418372	20

262144	1412091	20

524288	1612422	20

1048576	1359310	20

1	1506333	21

2	1434493	21

4	1461041	21

8	1453748	21

16	1457945	21

32	1452198	21

64	1447090	21

128	1456511	21

256	1443086	21

512	1449830	21

1024	1474024	21

2048	1449384	21

4096	1455728	21

8192	1459961	21

16384	1449935	21

32768	1463366	21

65536	1454755	21

131072	1520111	21

262144	1465870	21

524288	1436822	21

1048576	1423818	21

1	1519604	22

2	1464823	22

4	1483689	22

8	1454083	22

16	1493818	22

32	1473622	22

64	1486674	22

128	1699793	22

256	1466320	22

512	1477953	22

1024	1474434	22

2048	1480669	22

4096	1485316	22

8192	1458140	22

16384	1485754	22

32768	1474289	22

65536	1472428	22

131072	1480584	22

262144	1476730	22

524288	1471901	22

1048576	1445235	22

1	1562596	23

2	1504696	23

4	1520556	23

8	1489317	23

16	1503353	23

32	1521304	23

64	1513642	23

128	1524226	23

256	1491870	23

512	1516361	23

1024	1504359	23

2048	1514246	23

4096	1490645	23

8192	1498263	23

16384	1536882	23

32768	1491515	23

65536	1516308	23

131072	1515280	23

262144	1513121	23

524288	1496986	23

1048576	1448493	23

1	1595247	24

2	1509539	24

4	1535208	24

8	1534322	24

16	1554995	24

32	1541499	24

64	1525742	24

128	1531180	24

256	1535397	24

512	1543193	24

1024	1515691	24

2048	1547130	24

4096	1530368	24

8192	1537487	24

16384	1548818	24

32768	1531835	24

65536	1536710	24

131072	1522916	24

262144	1541692	24

524288	1486735	24

1048576	1479339	24

